FaceImage_1,Doubled,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw5_1.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw14_1.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.15.24 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_lnface01.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw11_1.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.12.21 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.16.15 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.53.08 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.57.45 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw12_4.png,0,,,,,,,,, 
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw12_3.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.58.51 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.53.31 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.09.59 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.56.07 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw11_3.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw11_3.png,1,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.14.24 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.14.05 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw10_1.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw15_2.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 1.53.16 PM.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw3_3.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw3_3.png,1,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_face_draw2_4.png,0,,,,,,,,,
vwfaLoc/stimuli/face_pngs_grid/grid_Screen Shot 2014-04-11 at 2.17.02 PM.png,0,,,,,,,,,
